res_type,rotamer,n,frequency%,chi1_mean,chi1_esd,chi2_mean,chi2_esd,chi3_mean,chi3_esd,chi4_mean,chi4_esd,CA_CB_CG_mean,CA_CB_CG_esd,CA_C_O_mean,CA_C_O_esd,CB_CA_C_mean,CB_CA_C_esd,CB_CG_CD_mean,CB_CG_CD_esd,CD_NE_CZ_mean,CD_NE_CZ_esd,CG_CD_NE_mean,CG_CD_NE_esd,NE_CZ_NH1_mean,NE_CZ_NH1_esd,NE_CZ_NH2_mean,NE_CZ_NH2_esd,NH1_CZ_NH2_mean,NH1_CZ_NH2_esd,N_CA_C_mean,N_CA_C_esd,N_CA_CB_mean,N_CA_CB_esd
ARG,ttp-170,1533,3.31,-175,9.3,179,13.2,67,9.0,-171,17.3,113.7,1.65,120.6,0.76,110.0,1.24,111.6,1.68,124.5,1.17,111.5,1.58,120.5,0.90,119.8,0.88,119.8,0.70,110.5,2.21,110.4,1.31
ARG,mtp180,2504,5.40,-66,8.1,179,13.0,66,9.1,-172,16.5,113.2,1.79,120.5,0.83,110.0,1.65,111.7,1.81,124.4,1.21,111.6,1.56,120.4,1.00,119.8,0.97,119.8,0.77,111.4,2.42,110.5,1.05
ARG,pmm-80,19,0.04,74,12.6,-76,11.2,-57,8.1,-81,7.4,115.9,1.02,120.8,0.55,110.9,1.23,113.5,1.56,125.1,1.08,112.5,1.30,120.4,0.95,120.3,0.95,119.3,0.67,109.7,2.43,111.6,1.00
ARG,ttp-110,623,1.34,-175,8.5,177,13.0,65,10.7,-113,9.9,113.8,1.63,120.6,0.80,110.2,1.23,112.0,1.75,125.4,1.36,111.9,2.16,121.1,1.28,119.5,1.16,119.4,0.89,110.7,2.18,110.3,1.29
ARG,pmt-80,27,0.06,81,9.3,-68,7.6,-177,11.0,-84,8.3,115.8,1.16,121.0,0.65,110.3,1.02,113.3,1.79,124.9,0.99,112.1,1.75,121.0,0.89,119.6,0.60,119.4,0.60,110.7,2.03,111.4,1.16
ARG,mpt180,245,0.53,-85,8.0,69,13.1,174,9.4,174,16.8,114.8,1.42,120.6,0.86,109.5,1.66,113.0,1.81,124.4,1.45,110.7,2.00,120.4,1.02,119.7,0.92,119.8,0.88,110.0,2.75,111.1,1.15
ARG,mtt90,2460,5.30,-68,7.5,180,13.5,179,10.6,91,15.1,113.3,1.72,120.4,0.80,109.9,1.73,111.5,2.04,124.9,1.14,111.0,2.49,120.9,1.07,119.5,1.06,119.6,0.80,111.4,2.40,110.6,1.12
ARG,ttt-90,1380,2.98,-177,9.4,178,11.5,-178,9.9,-90,12.5,114.0,1.62,120.5,0.79,110.3,1.26,110.9,2.08,124.8,1.17,111.8,2.58,120.8,1.08,119.6,1.01,119.6,0.87,110.4,2.30,110.2,1.31
ARG,mpp-170,64,0.14,-79,12.9,82,17.4,65,7.4,-167,16.4,114.6,1.43,120.5,0.68,109.7,1.57,112.7,1.74,124.5,1.19,111.5,1.34,120.6,1.06,119.7,0.76,119.7,0.70,110.0,3.12,111.4,1.11
ARG,mtm110,781,1.68,-68,8.2,-177,9.7,-69,10.2,113,10.6,113.1,1.81,120.4,0.90,110.1,1.76,112.4,1.72,125.3,1.52,112.1,1.88,121.1,1.28,119.4,1.12,119.5,0.92,111.7,2.44,110.7,1.04
