res_type,rotamer,n,frequency%,chi1_mean,chi1_esd,chi2_mean,chi2_esd,chi3_mean,chi3_esd,CA_CB_CG_mean,CA_CB_CG_esd,CA_C_O_mean,CA_C_O_esd,CB_CA_C_mean,CB_CA_C_esd,CB_CG_CD_mean,CB_CG_CD_esd,CG_CD_NE2_mean,CG_CD_NE2_esd,CG_CD_OE1_mean,CG_CD_OE1_esd,N_CA_C_mean,N_CA_C_esd,N_CA_CB_mean,N_CA_CB_esd,OE1_CD_NE2_mean,OE1_CD_NE2_esd
GLN,mm110,1147,3.09,-65,8.6,-63,10.9,109,24.1,114.0,1.56,120.4,0.85,110.0,1.53,112.9,1.43,116.6,0.92,120.8,0.94,111.6,2.28,110.7,1.07,122.6,0.68
GLN,tp40,3618,9.75,-177,8.7,66,8.2,41,24.2,113.9,1.42,120.4,0.79,110.2,1.15,112.9,1.24,116.6,0.84,120.8,0.87,111.0,2.01,110.6,1.13,122.6,0.65
GLN,mp10,1207,3.25,-67,9.0,82,11.4,17,37.5,114.2,1.36,120.4,0.84,109.8,1.52,113.4,1.29,116.3,0.82,121.1,0.95,111.6,2.35,110.8,1.10,122.5,0.60
GLN,mt0,14370,38.71,-67,7.5,179,11.2,-4,62.6,113.2,1.82,120.5,0.85,109.9,1.71,112.6,1.53,116.4,0.85,120.8,0.90,111.4,2.26,110.6,1.04,122.7,0.70
GLN,tt0,6936,18.69,-176,8.5,178,10.8,2,60.9,113.6,1.80,120.6,0.76,110.1,1.18,112.6,1.50,116.5,0.84,120.8,0.88,110.4,2.27,110.3,1.36,122.7,0.71
GLN,mp-120,87,0.23,-73,10.0,69,11.4,-120,13.0,114.4,1.55,120.5,0.88,109.7,1.79,113.6,1.57,116.6,0.65,120.6,1.09,111.6,2.76,110.7,1.01,122.7,0.84
GLN,tm-30,547,1.47,-172,10.1,-86,11.0,-29,20.3,114.6,1.35,120.5,0.83,110.9,1.31,113.5,1.40,116.5,0.71,120.9,0.81,110.2,2.51,110.3,1.24,122.6,0.68
GLN,pp30,178,0.48,63,7.8,84,8.5,30,20.9,115.9,1.28,120.3,0.95,111.4,1.62,113.6,1.40,116.4,0.89,120.9,0.95,111.0,2.55,111.5,1.15,122.6,0.67
GLN,mm-40,5959,16.05,-64,8.6,-66,10.4,-39,24.7,113.9,1.42,120.5,0.87,109.9,1.49,112.8,1.28,116.5,0.91,120.9,0.91,111.4,2.45,110.6,1.04,122.6,0.78
GLN,pm20,487,1.31,70,9.9,-84,9.3,17,32.3,115.7,1.41,120.3,0.93,110.4,1.35,113.9,1.43,116.3,0.86,121.3,0.99,112.4,2.22,111.2,1.13,122.5,0.72
GLN,tp-100,534,1.44,-177,8.7,62,8.8,-105,27.5,114.4,1.57,120.6,0.83,110.5,1.24,113.0,1.31,116.6,0.95,120.9,0.85,110.4,2.26,110.4,1.24,122.6,0.64
GLN,tm130,55,0.15,-172,9.7,-76,10.4,127,16.1,114.9,1.44,120.5,0.94,111.3,1.63,114.4,2.70,117.1,1.28,120.5,1.17,108.8,3.40,110.1,1.37,122.4,0.74
GLN,pt0,1885,5.08,65,8.1,-177,11.3,-3,75.2,114.5,1.53,120.5,0.96,110.4,1.52,112.5,1.47,116.5,0.95,120.8,0.97,111.3,2.63,110.9,1.18,122.6,0.75
