res_type,rotamer,n,frequency%,chi1_mean,chi1_esd,chi2_mean,chi2_esd,chi3_mean,chi3_esd,chi4_mean,chi4_esd,CA_CB_CG_mean,CA_CB_CG_esd,CA_C_O_mean,CA_C_O_esd,CB_CA_C_mean,CB_CA_C_esd,CB_CG_CD_mean,CB_CG_CD_esd,CD_CE_NZ_mean,CD_CE_NZ_esd,CG_CD_CE_mean,CG_CD_CE_esd,N_CA_C_mean,N_CA_C_esd,N_CA_CB_mean,N_CA_CB_esd
LYS,tppt,272,0.78,-178,7.9,63,8.9,70,9.2,177,9.4,114.8,1.23,120.5,0.74,110.6,1.10,113.2,1.54,111.2,1.84,112.4,1.45,110.6,2.08,110.3,1.07
LYS,mtpt,1357,3.90,-69,8.1,174,11.3,71,11.8,175,10.4,113.3,1.54,120.5,0.84,110.0,1.65,112.3,1.55,110.8,2.15,112.3,1.49,111.4,2.21,110.7,1.03
LYS,mtpp,392,1.13,-69,7.5,177,10.9,70,10.8,68,10.9,113.2,1.66,120.4,0.82,110.2,1.51,112.4,1.45,112.8,2.11,112.7,1.41,111.4,2.53,110.5,1.01
LYS,mtpm,17,0.05,-70,6.1,175,15.5,91,14.7,-70,12.1,113.5,2.14,120.3,0.77,109.8,2.27,112.3,1.70,113.4,1.87,113.2,1.59,110.9,2.12,110.5,1.03
LYS,ttmm,197,0.57,-174,8.5,180,9.9,-71,11.9,-67,11.4,113.6,1.46,120.6,0.82,110.2,1.29,112.1,1.57,112.6,2.30,112.5,1.56,110.2,2.45,110.3,1.39
LYS,mmpt,31,0.09,-60,7.0,-71,19.5,94,14.5,176,10.7,115.3,1.12,120.4,0.89,109.8,1.68,113.4,1.80,111.5,1.77,112.0,1.40,111.5,2.37,111.2,1.39
LYS,tptt,1228,3.53,-179,9.1,69,9.0,176,10.1,177,12.3,114.8,1.31,120.5,0.78,110.4,1.22,112.0,1.60,111.1,2.24,111.0,1.47,110.7,2.15,110.2,1.11
LYS,pttm,268,0.77,64,6.9,-178,9.1,-179,10.0,-67,11.7,114.9,1.47,120.4,0.98,110.4,1.45,110.7,2.05,112.3,2.37,111.9,1.51,112.0,2.55,111.0,1.16
LYS,ptpt,148,0.42,65,8.2,179,11.8,73,10.4,175,11.2,114.7,1.64,120.5,0.85,110.5,1.43,112.1,1.65,111.4,2.10,112.4,1.85,111.2,2.94,111.1,1.32
LYS,mtmp,9,0.03,-67,5.8,-176,8.3,-96,7.4,74,12.3,113.8,1.23,120.6,0.61,109.9,1.20,111.7,1.98,113.7,2.37,112.7,0.79,110.4,2.29,110.8,0.91
