res_type,rotamer,n,frequency%,chi1_mean,chi1_esd,chi2_mean,chi2_esd,chi3_mean,chi3_esd,CA_CB_CG_mean,CA_CB_CG_esd,CA_C_O_mean,CA_C_O_esd,CB_CA_C_mean,CB_CA_C_esd,CB_CG_SD_mean,CB_CG_SD_esd,CG_SD_CE_mean,CG_SD_CE_esd,N_CA_C_mean,N_CA_C_esd,N_CA_CB_mean,N_CA_CB_esd
MET,pmt,7,0.04,71,3.4,-75,3.2,-162,4.9,114.8,0.77,121.0,0.64,111.1,1.13,111.7,2.28,100.2,1.91,109.0,1.55,111.6,1.28
MET,ptm,375,2.23,65,8.2,179,10.2,-72,11.6,114.6,1.65,120.6,0.93,110.3,1.44,112.8,2.11,100.9,1.82,110.9,2.77,111.2,1.21
MET,ttp,1246,7.42,-178,8.6,179,11.4,72,10.6,113.6,1.65,120.6,0.85,110.0,1.17,112.8,2.11,100.7,2.07,110.3,2.15,110.4,1.31
MET,ttt,569,3.39,-177,8.8,177,9.5,176,15.5,113.7,1.72,120.6,0.96,110.1,1.31,110.6,2.20,100.1,1.66,110.2,2.43,110.1,1.39
MET,ppp,50,0.30,61,9.3,79,11.0,71,9.9,115.7,1.79,120.7,0.90,111.2,1.57,114.4,2.33,100.5,4.02,111.8,2.72,110.9,1.02
MET,ttm,1124,6.69,-175,9.3,180,8.2,-72,13.1,113.5,1.71,120.5,0.80,110.0,1.17,112.8,2.16,100.8,1.74,110.1,2.40,110.4,1.33
MET,tpp,1138,6.78,-175,9.4,64,8.0,72,12.0,114.2,1.35,120.5,0.84,110.3,1.13,113.7,2.02,100.7,1.77,110.7,2.23,110.5,1.17
MET,pmm,42,0.25,73,7.8,-69,6.7,-69,8.1,115.5,0.86,120.6,0.79,110.2,1.22,115.2,2.54,101.1,1.58,112.3,2.69,110.8,1.21
MET,ptt,260,1.55,65,8.2,-178,9.1,179,15.6,114.7,1.69,120.6,0.94,110.3,1.49,111.0,2.39,99.8,2.32,111.1,2.70,111.1,1.30
MET,ptp,404,2.41,65,8.5,-176,11.4,73,11.6,114.6,1.80,120.7,0.92,110.3,1.46,112.9,2.19,100.8,1.94,110.6,2.56,111.0,1.23
MET,tmt,34,0.20,-179,6.7,-86,7.6,174,24.4,114.9,1.13,120.7,0.56,110.7,1.24,112.8,1.77,100.3,1.37,110.0,2.89,110.1,1.22
MET,pp-130,27,0.16,64,7.2,82,4.9,-154,27.8,115.4,1.18,120.9,0.65,111.1,0.91,113.7,2.01,100.8,1.95,111.0,1.84,110.9,0.99
MET,tmm,276,1.64,-177,7.3,-82,6.8,-72,10.5,115.0,1.37,120.5,0.78,111.0,1.24,114.0,2.12,100.8,1.64,109.9,2.10,110.1,1.16
MET,mmt,597,3.55,-65,8.7,-64,9.4,172,18.5,113.9,1.44,120.4,0.80,109.9,1.55,112.1,2.04,100.3,1.99,111.5,2.25,110.6,0.94
MET,mpm,13,0.08,-77,5.1,64,5.5,-102,5.0,116.1,1.02,120.7,0.73,109.1,1.27,115.9,2.31,100.4,1.56,110.7,1.81,111.0,1.05
MET,mmp,520,3.10,-65,5.3,-62,6.3,102,9.3,114.2,1.41,120.3,0.80,110.2,1.55,113.8,2.14,101.2,2.18,111.5,2.15,110.8,1.10
MET,mmm,3354,19.97,-66,8.9,-61,8.8,-69,10.2,114.0,1.29,120.4,0.86,110.0,1.53,113.7,1.95,100.9,1.74,111.6,2.38,110.7,1.02
MET,mpt,34,0.20,-70,11.7,74,11.0,167,18.6,114.6,0.96,120.4,0.88,109.3,1.40,113.2,2.02,100.1,2.40,110.1,2.78,111.0,1.12
MET,mpp,74,0.44,-77,13.7,73,12.3,74,11.9,114.6,1.36,120.5,0.89,109.9,1.63,114.3,2.25,101.2,2.26,110.7,2.69,110.8,1.20
MET,mtp,2815,16.76,-67,7.1,177,9.3,70,10.1,113.1,1.64,120.5,0.84,110.0,1.59,112.8,2.08,100.8,1.73,111.3,2.35,110.5,1.01
MET,mtt,1542,9.18,-67,7.7,180,8.7,-177,16.5,113.6,1.71,120.5,0.82,109.4,1.67,110.4,2.19,100.1,1.97,111.1,2.27,110.7,1.00
MET,tpt,388,2.31,-173,8.7,66,7.8,-156,31.2,114.1,1.39,120.5,0.74,110.5,1.13,112.4,1.99,100.4,2.09,110.4,2.25,110.3,1.36
MET,mtm,1851,11.02,-66,7.9,-178,10.7,-74,10.8,113.2,1.72,120.5,0.90,109.9,1.63,112.9,2.15,100.8,1.78,111.1,2.32,110.7,1.07
